EST_NUM1,NAME1,NAME21,ADB_NAME1,MAIL_11,MAIL_21,MAIL_31,MAIL_CITY1,MAIL_PROV1,MAIL_PC1,LOC_ADD11,LOC_ADD21,LOC_ADD31,LOC_CITY1,LOC_PROV1,LOC_PC1,TELE_11,TELE_21,TELE_31,CODES_11,CODES_21,CODES_31,CODE_41,CODE_51,CODES_61,CODE_71,CODE_81,CODES_91,CODES_101,EXPORT1,TRICHINA1,POUTRY_SPC1,OTHERS_SPC1,HACCP_REG1,EP_NUM1,LASTUPDT1,LICENCE_NO1,LICENCE_IS1,LICENCE_EX1
197,9373586 CANADA INC,,ALIMENTRA;LES ALIMENTS CUIZINE/CUIZINE FOODS,,,,,,,"3480 RANG DES TRENTE, RR1",,,ST-JEAN-BAPTISTE,QC,J0L 2B0,(450) 464-1414,(   )    -,,,,,,,fx,,,,,D,,,,,EP1460,2018-04-25,197-1460-17342,2018-01-26,2019-03-31
205,JBS CANADA ULC,,"MOUNTAIN CREEK FARMS ",,,,,,,3410B OGDEN ROAD S.E.,,,CALGARY,AB,T2G 4N5,(403) 290-0860,(403) 264-3017/F,(403) 218-2163/I,,,fx,,,fx,,,,,ADL,,,,,EP1217,2018-02-28,205-1217-17830,2018-02-28,2019-03-31
206,ALIMENTS PRO-MARQUE INC.,,ALIMENTS FUN ET GRILL : DELI AND BRUNCH : GOUTS ET TRADITIONS : GRILL ET FOUR : GUSTI E TRADIZIONI : TENDER SENSATION : WOK AND GRILL : WOK ET GRILLADE,,,,,,,"11695, AVE PHILIPPE-PANNETON",,,MONTRÉAL,QC,H1E 4M1,(514) 881-9998,(514) 643-0885/F,,,,fx,,,fx,,,,,D,,,,,EP2022,2018-02-22,206-2022-17727,2018-02-22,2019-03-31
207,ALIMENTS LUDA FOODS INC.,,ALIMENTS E.D. : E.D. FOODS,,,,,,,6200 TRANSCANADA HIGHWAY,,,POINTE CLAIRE,QC,H9R 1B9,(514) 695-3333,(514) 695-0281/F,,,,,,,fx,,,,,D,,,,,EP1219,2019-04-09,207-1219-17890,2018-03-08,2019-03-31
208A,ERIE MEAT PRODUCTS LTD - EST 208A,,CAN-AM MEAT PURVEYORS : GOLDEN MAPLE MEAT PRODUCTS: HARVEST CREEK : 508818 ONTARIO LIMITED,3240 WHARTON WAY,,,MISSISSAUGA,ON,L4X2C1,3180 WHARTON WAY,,,MISSISSAUGA,ON,L4X2C1,,,,,,F,,,,,,BUS,,ADGKRV,,,,,EP1220,2026-06-09 13:54:14.1989901,208A-1220-17619,2018-02-19,2019-03-31
210,9292-2913 QUÉBEC INC.,,,,,,,,,"1940, RUE DES OUTARDES",,,CHICOUTIMI,QC,G7K 1H1,(418) 545-2511,(418) 690-3395/F,,,,,,,fx,,,,,,,,,,EP2058,2018-02-16,210-2058-17585,2018-02-16,2019-03-31
217,HALLMARK POULTRY PROCESSORS LTD.,,,1756 PANDORA STREET,,,VANCOUVER,BC,V5L 1M1,1750 FRANKLIN STREET,,,VANCOUVER,BC,V5L 1P7,(604) 254-9885,(604) 254-7039/F,(604) 254-1143/I,f,,f,,,f,,,,,DGV,,,,,EP1229,2018-01-30,217-1229-17353,2018-01-30,2019-03-31
814,LES ALIMENTS RUSTICA INC.,,,,,,,,,10301 RUE COLBERT,,,ANJOU,QC,H1J2G5,(514)325-9009,,,,,,,,XF,,,,,D,,,,,,2023-09-22 10:24:47.397069900,,,
458,3243222 CANADA INC.*,,IMAGO FOODS,2900 MARKHAM ROAD,,,SCARBOROUGH,ON,M1X 1E6,30 SIMS CRESCENT,,,RICHMOND HILL,ON,L4B 2N9,(905) 762-1688,(905) 762-1686/F,(905) 762-1607/I,,,fx,,,fx,,,,,D,,,,,EP1442,2018-02-02,458-1442-16603,2017-02-01,2018-03-31
513,BRITCO PORK INC.,,,,,,,,,22940 FRASER HIGHWAY,,,LANGLEY,BC,V2Z2T9,,,,D,,X,,,X,,,,,ADFGIKOPQSV,,,,,,2026-02-27 16:15:05.9201664,,,
283,C&C PACKING LIMITED PARTNERSHIP,,Les Viandes Premiere- Premier Meat Packers (TM),,,,,,,"270, RUE JOSEPH-CARRIER",,,VAUDREUIL-DORION,QC,J7V 5V5,(450) 424-0500,(450) 424-5554/F,,,,xf,,,xf,,,,,ADLQR,,,,,EP2285,2018-07-25,283-2285-18015,2018-07-25,2019-03-31
285,MAPLE LODGE FARMS LTD.,,,,,,,,,"8301 WINSTON CHURCHILL BLVD,",,,BRAMPTON,ON,L6Y0A2,(416)809-8337,,,FI,,F,,,F,,Y,B,,ADGRV,,,,,,2025-08-20 10:24:54.4453573,,,
290,MOLINARO'S FINE ITALIAN FOODS LTD.,,,"2345 STANFIELD ROAD, UNIT #50",,,MISSISSAUGA,ON,L4Y 3Y3,"2345 STANFIELD ROAD, UNIT 3A,4,50",,,MISSISSAUGA,ON,L4Y 3Y3,(905) 275-7400,(905) 275-7318/F,Ext. 36/I,,,,,,fx,,,,,AD,,,,,EP1294,2018-02-19,290-1294-17626,2018-02-19,2019-03-31
291,COUNTRY RIBBON INC.,,,P.O. BOX 803,,,ST. JOHN'S,NL,A1C 5L7,BLDG. 902-907,EAST WHITEHILLS ROAD,,ST. JOHN'S,NL,A1C 5L7,(709) 722-3751,(709) 722-6010/F,,f,,f,,,fx,,,,,DGK,,,,,EP1295,2018-02-09,291-1295-17479,2018-02-09,2019-03-31
294,4372795 MANITOBA LTD.,,SMITH'S CORNED BEEF AND SAUSAGE : SMITH'S QUALITY MEATS,,,,,,,1434 CHURCH AVENUE,,,WINNIPEG,MB,R2X 1G4,(204) 633-7054,(204) 694-0708/F,,,,,,,fx,,,,,,,,,,EP1299,2018-02-14,294-1299-17522,2018-02-14,2019-03-31
297,CONCORD PREMIUM MEATS LTD.,,"CONCORD PREMIUM FOODS, MARCANGELO FOODS, DYNASTY MEATS, CENTRAL PARK DELI, CONNIE'S KITCHEN, COUNTY CREEK MEAT COMPANY LIMITED, MARCANGELO - LES ALIMENTS SKOULAKIS - SKOULAKIS, BLACK VALLEY ANGUS COMPANY LIMITED, BLACK RIVER ANGUS COMPANY LIMITED AND CLIFTON LANE, TAKARA.",,,,,,,125 EDILCAN DRIVE,,,VAUGHAN,ON,L4K3S6,(905)738-7979,,,,,X,,,FX,,,,,ADF,,,,,,2022-10-13 10:40:56.648358100,,,
299,SOLINA CANADA INC.,,,72 RAILSIDE RD,,,NORTH YORK,ON,M3A1A3,1805 RUE BERLIER,,,LAVAL,QC,H7L3S4,(416)449-5464,,,,,,,,"x,f",,,,,,,,,,EP1302,2025-02-25 11:00:21.6510332,299-1302-17783,2018-02-26,2019-03-31
302,INOVATA FOODS CORP.,,,,,,,,,12803 - 149 ST. NW,,,EDMONTON,AB,T5L 2J7,(780) 454-8665,(780) 454-8668/F,,,,,,,fx,,,,,AD,,,,,EP2075,2018-02-07,302-2075-17454,2018-02-07,2019-03-31
303,MACGREGORS MEAT & SEAFOOD LTD.,,STEAKHOUSE CHOICE,,,,,,,265 GARYRAY DRIVE,,,TORONTO,ON,M9L 1P2,(416) 749-5951,(416) 740-3230/F,Ext. 251/I,,,fx,,,fx,,,,,,,,,,EP1305,2018-03-06,303-1305-17853,2018-03-06,2019-03-31
304,ZINETTI FOOD PRODUCTS LTD.,,,,,,,,,17760 - 66th AVENUE,,,SURREY,BC,V3S 7X1,(604) 574-2028,(604) 574-1097/F,,,,,,,fx,,,,,DLA,,,,,EP1854,2018-09-25,304-1854-17403,2018-02-02,2019-03-31
305,FLORENTINA FOODS LTD.,,,,,,,,,760 SUPERTEST ROAD,,,TORONTO,ON,M3J 2M5,(416) 661-0906,(416) 661-6568/F,,,,,,,fx,,,,,D,,,,,EP2256,2018-02-09,305-2256-17489,2018-02-09,2019-03-31
306,7870442 CANADA INC.,,LES ALIMENTS SUPREME,,,,,,,5442 RUE RAMSAY,,,SAINT-HUBERT,QC,J3Y2S3,(450)443-0808,,,,,f,,,f,,,B(US),,,,,,,EP1307,2026-06-02 10:52:33.6395265,306-1307-17784,2018-02-26,2019-03-31
309,9178-4710 QUÉBEC INC.,,MARVID POULTRY CANADA,,,,,,,"10039-10041, AVENUE DE ROME",,,MONTREAL-NORD,QC,H1H 4N3,(514) 448-6471,(514) 448-6473/F,(514) 448-6471/I,,,f,,,f,,,,,DK,,,,,EP1310,2018-02-26,309-1310-17786,2018-02-26,2019-03-31
311,SOFINA FOODS INC. /ALIMENTS SOFINA INC.,,EXCELDOR COOPERATIVE,,,,,,,"1000, RTE BÉGIN",,,SAINT-ANSELME,QC,G0R2N0,(418)885-4451,,,"f,i",,f,,,f,,,,,ADG,,,,,,2026-05-21 14:19:53.646368,,,
313,H. HEIN FOODS LTD.,,,,,,,,,"BAY 7, 6112 30TH STREET S.E.",,,CALGARY,AB,T2C 2A6,(403) 236-2653,(403) 212-0421/F,,,,fx,,,fx,,,,,,,,,,EP2272,2018-03-01,313-2272-17838,2018-03-01,2019-03-31
314,SUNRISE POULTRY PROCESSORS LTD.,,SUNRISE FARMS,13538 73 AVENUE,,,SURREY,BC,V3W 2R6,13542-73A AVENUE,,,SURREY,BC,V3W 1C9,(604) 596-9505,(604) 593-3915/F,,f,,f,,,f,,,,,ADGV,,,,,EP1315,2018-03-09,314-1315-17896,2018-03-09,2019-03-31
315,OCEAN PIER INC.,,,,,,,,,20 PATTISON STREET,,,SCOUDOUC,NB,E4P3R4,(506)532-3010,,,,,,,,XF,,,,,AD,,,,,,2021-01-18 12:06:12.176532200,,,
316,SOFINA FOODS INC./ALIMENTS SOFINA INC.,,JANES FAMILY FOODS,3340 ORLANDO DRIVE,,,MISSISSAUGA,ON,L4V 1C7,401 CANARCTIC DRIVE,,,TORONTO,ON,M3J 2P9,(416) 665-6104,(416) 665-8031/F,(416) 665-0518/I,,,f,,,fx,,,B/US,,D,,,,,EP1316,2018-03-06,316-1316-17854,2018-03-06,2019-03-31
325,LESTERS FOODS LIMITED - LES ALIMENTS LESTERS LIMITEE,,,,,,,,,"2105 BOULEVARD INDUSTRIEL,",,,LAVAL,QC,H7S 1P7,(450) 629-1109,(450) 629-1710/F,Ext. 154/I,,,x,,,fx,,,B,,D,,,,,EP1325,2019-09-19,325-1325-17535,2018-02-14,2019-03-31
S717,LES ENTREPOTS FRIGORIFIQUES LAVAL LTÉE,,,,,,,,,"752, AVENUE LEO-LACOMBE",,,LAVAL,QC,H7N 3Y6,(450) 669-2638,(450) 669-1131/F,,,,,,,,,,B/US,A,,,,,,EP1741,2018-03-05,S717-1741-17847,2018-03-05,2019-03-31
S725,CONGÉBEC INC.,,,,,,,,,"810, AVENUE GODIN",,,QUÉBEC,QC,G1M 2X9,(418) 683-3491,(418) 686-8836/F,,,,,,,,,,,A,,,,,,EP2034,2018-02-16,S725-2034-17580,2018-02-16,2019-03-31
S795,OLYMEL S.E.C./ OLYMEL L.P.,,OLYMEL S.E.C./L.P.,,,,,,,"1580, RUE EIFFEL",,,BOUCHERVILLE,QC,J4B5Y1,(450)449-6344,,,,,,,,,,,,A,RS,,,,,EP2202,2025-06-17 13:47:43.1600852,S795-2202-17336,2018-01-26,2019-03-31
828,THE SASKATCHEWAN FOOD INDUSTRY DEVELOPMENT CENETRE INC.,,AGRI-FOOD INNOVATION CENTRE,2335 SCHUYLER STREET,,,SASKATOON,SK,S7M 5V1,2335 SCHUYLER STREET,,,SASKATOON,SK,S7M 5V1,(306) 933-7555/T,(306) 933-7208/F,,,,,,,fx,,,,,,,,,,EP2601,2018-02-21,828-2601-17704,2018-02-21,2019-03-31
830,LES PRODUITS DE VIANDES PAC-RITE INC.,,,,,,,,,9090 RUE PIERRE BONNE,,,MONTREAL,QC,H1E 6W5,(514) 524-3557/T,(514) 524-7806/F,,,,f,,,f,,,B/US,,D,,,,,EP2603,2018-11-20,830-2603-18005,2018-06-21,2019-03-31
831,ATWOOD HERITAGE PROCESSING INC.,,,6687 LINE 71,,,ATWOOD,ON,N0G 1B0,6687 LINE 71,,,ATWOOD,ON,N0G 1B0,(519) 356-8870,,,,,,,,fx,,,,,,,,,,EP2604,2019-08-14,831-2604-17911,2018-03-14,2019-03-31
S758,9501-1052 QUÉBEC INC.,,,,,,,,,5250 J-A BOMBARDIER,,,SAINT HUBERT,QC,J3Z1H1,(514)967-3817,,,,,,,,,,,BC/US,AB,,,,,,,2024-12-09 08:09:29.9823899,,,
007,CANADA PACKERS INC.,,,,,,,,,6355 RICHMOND AVENUE EAST,,,BRANDON,MB,R7A7M5,(905)285-6000,,,d,,x,Y,Y,,,,b,,"A,D,G,O,S,V",,,,,,2025-12-23 10:29:46.2592498,,,
755,DR. OETKER CANADA LTD.,,,2229 DREW ROAD,,,MISSISSAUGA,ON,L5S 1E5,3100 NOVA COURT,,,LONDON,ON,N6M 1E2,(519) 455-0055,(519) 455-0980/F,,,,,,,fx,,,,,DF,,,,,EP2525,2018-03-01,755-2525-17832,2018-03-01,2019-03-31
S110,VERSACOLD LOGISTICS SERVICES,,,,,,,,,31785 MARSHALL ROAD,,,ABBOTSFORD,BC,V2T 5Z8,(604)358-1174,,,,,,,,,,,B/US,A,S,,,,,EP1606,2025-01-31 12:00:04.3849217,S110-1606-17483,2018-02-09,2019-03-31
S111,PMC LOGISTICS INC.,,,,,,,,,7542 PROGRESS WAY,,,DELTA,BC,V4G 1E9,(604) 940-9828,(604) 948-9838/F,,,,,,,,,,,AB,S,,,,,EP1919,2018-01-30,S111-1919-17358,2018-01-30,2019-03-31
736,BARILO'S FINE SAUSAGES LTD.,,,,,,,,,"1265 MAPLE HILL COURT,",,,NEWMARKET,ON,L3Y 9E8,(905) 953-9914,(905) 953-9949/F,,,,fx,,,fx,,,,,D,,,,,EP2488,2018-02-09,736-2488-17469,2018-02-09,2019-03-31
669,COUNTRY MEAT PACKING LTD.,,,R.R. #1,,,DUNDAS,ON,L9H 5E1,1188 HWY 8,,,DUNDAS,ON,L9H 5E1,(519) 621-6829,(519) 622-5306/F,,,,,,,fx,,,,,,,,,,EP2412,2018-02-01,669-2412-17370,2018-02-01,2019-03-31
326,CONCORD PREMIUM MEATS LTD.,,,,,,,,,6481 EDWARDS BLVD.,,,MISSISSAUGA,ON,L5T2V2,,,,,,x,,,fx,,,,,,,,,,,2026-06-17 14:38:41.7256565,,,
S878,FRANDON SEAFOODS INC./FRUITS DE MER FRANDON INC.,,,,,,,,,6790 BOULEVARD DES GRANDES PRAIRIES,,,MONTREAL,QC,H1P3P3,(514)820-0752,,,,,,,,,,,,A,,,,,,,2020-12-10 14:54:23.642567500,,,
863,LES ALIMENTS MISE EN BOUCHE INC.,,,,,,,,,"170, BOUL INDUSTRIEL",,,SAINT-EUSTACHE,QC,J7R5C2,(514)961-9322,,,,,,,,"f,x",,,,,,,,,,,2020-12-15 09:38:04.667287100,,,
579,NOSTRA GOURMET FOODS INC.,,PASTACO,,,,,,,5341 JOHN LUCAS DRIVE,,,BURLINGTON,ON,L7L6A8,(416)630-3635,,,,,,,,fx,,,,,D,,,,,,2025-03-06 13:39:59.7691039,,,
416,PINTY'S DELICIOUS FOODS INC.,,OLYMEL S.E.C./L.P.,,,,,,,"R.R#1, 2276 SECOND CONCESSION",,,PORT COLBORNE,ON,L3K5V3,(905)319-5300,,,"f,i",,f,,,f,,,,,ADG,,,,,,2026-04-29 10:54:06.2187781,,,
687,TROIKA FOODS (2000) LTD.,,,"#14, 41 BROADWAY BLVD.",,,SHERWOOD PARK,AB,T8H 2C1,"#8-14, 41 BROADWAY BLVD.",,,SHERWOOD PARK,AB,T8H 2C1,(780) 467-1121,(780) 416-0095/F,,,,,,,fx,,,,,,,,,,EP2197,2018-02-06,687-2197-17435,2018-02-06,2019-03-31
729,WHITE VEAL MEAT PACKERS LTD.,,,,,,,,,5136 9TH LINE,,,COOKSTOWN,ON,L0L1L0,(416)459-8429,,,,,fx,,,fx,,,B,,DL,,,,,EP2473,2025-02-14 14:21:42.8310694,729-2473-17316,2018-01-23,2019-03-31
373,PREMIER KOSHER INC.,,MOVCHAR POULTRY/NIAGARA POULTRY/CROWN POULTRY,2659 INDUSTRIAL PARK ROAD,,,SMITHVILLE,ON,L0R2A0,1607 ABINGDON ROAD,,,CAISTOR CENTRE,ON,L0R1E0,(905)961-8357,,,FJ,,F,,,F,,,,,D,,,,,,2024-10-07 09:11:45.9494237,,,
138,LES ALIMENTS CHATEL INC.,,,,,,,,,575 MONTÉE SAINT-FRANÇOIS,,,LAVAL,QC,H7C 2S8,(514)935-5446,,,,,,,,x,,,"b, US",,,,,,,,2024-05-14 10:27:59.3494387,,,
S593,LINEAGE LOGISTICS ORS LTD.,,,450 THOMAS STREET,,,INGERSOLL,ON,N5C 3J7,160 INGERSOLL STREET,,,INGERSOLL,ON,N5C 3J7,(519)485-7237,,,,,,,,,,,,A,,,,,,,2021-01-18 08:30:14.882839300,,,
731,"SYSCO CANADA, INC.",,BUCKHEAD TORONTO,,,,,,,1400 CREDITSTONE ROAD,,,VAUGHN,ON,M9B 6J8,905-760-7200,,,,,FX,,,FX,,,,,D,,,,,,2023-12-11 15:21:18.653683600,,,
010,OLYM S.E.C.,,"AGROMEX, AGROMEX INC., F.MÉNARD, DIVISON D'OLYMEL S.E.C., OLYM L.P., OLYM S.E.C/L.P.",,,,,,,"168, RUE LAGUE",,,ANGE-GARDIEN,QC,J0E 1E0,(450)293-3694,,,D,,X,,,X,,,B/US,,ADFGHIOQSVKR,Y,,,,,2025-03-06 08:56:58.3069073,,,
S532,FRASER GLENBURNIE INC.,,FRASER ROAD COOLER,P.O. BOX 100,,,TRENTON,ON,K8V 5R1,220 FRASER ROAD,"LOT 15 & 16, CON. 1",NORTHCUMBERLAND COUNTY,MURRAY TOWNSHIP,ON,K8V 5P4,(613) 394-3317,(613) 392-5833/F,,,,,,,,,,,B,,,,,,EP2173,2018-02-21,S532-2173-17678,2018-02-21,2019-03-31
S535,GOCOLD SOLUTIONS INC.  / S535 NUGGETT,,,,,,,,,240 NUGGET COURT,,,BRAMPTON,ON,L6T5H4,(416)807-0012,,,,,,,,,,,"B, US",A,R,,,,,,2024-05-16 14:35:28.5049081,,,
S536,NOVA COLD LOGISTICS ULC.,,,,,,,,,745 INTERMODAL DRIVE,,,BRAMPTON,ON,L6T 5W2,(905) 791-8585,(905) 791-8581/F,,,,,,,,,,B/US,A,R,Y,,,,EP2308,2018-03-27,S536-2308-17959,2018-03-27,2019-03-31
894,H & M FOOD LIMITED,,,,,,,,,3-301 45TH STREET WEST,,,SASKATOON,SK,S7L5Z9,(306)952-1358,,,,,,,,x,,,,,,,,,,,2020-11-20 11:04:37.347897400,,,
347,LES PLATS DU CHEF ULC,,"CUISINE ADVENTURES; PLATS DU CHEF; JONATHAN T ",1700-666 BURRARD STREET,PARK PLACE,,VANCOUVER,BC,V6C 2X8,"51, RUE KESMARK",,,DOLLARD-DES-ORMEAUX,QC,H9B 3J1,(514) 685-9955,(514) 685-2602/F,,,,,,,fx,,,,,D,,,,,EP2194,2018-03-08,347-2194-17865,2018-03-08,2019-03-31
348,MAXI CANADA INC.,,,,,,,,,688 RUE DU PARC,,,ST-LIN-LAURENTIDES,QC,J5M 3B4,(450) 439-2500,(450) 439-6500/F,,,,,,,f,,,B/US,,AD,,,,,EP1346,2018-02-14,348-1346-17536,2018-02-14,2019-03-31
351,GRAND RIVER FOODS LTD.,,,,,,,,,31100 WHEEL AVE.,,,ABBOTSFORD,BC,V2T 6G8,(604) 852-3760,(604) 852-5969/F,(604) 852-7254/I,,,,,,fx,,,,,AD,,,,,EP2045,2018-12-12,351-2045-17359,2018-01-30,2019-03-31
352A,CARDINAL MEAT SPECIALISTS LIMITED,,,,,,,,,2396 STANFIELD ROAD,,,MISSISSAUGA,ON,L4Y 1S1,(905) 279-1733,(905) 279-1323/F,,,,fx,,,fx,,,,,D,,,,,EP1350,2018-02-26,352A-1350-17778,2018-02-26,2019-03-31
353,PASTIFICIO D'APRILE LTD.,,PASTA PASTA PASTA : PASTA PERFETTO,,,,,,,125 ANDERSON AVENUE,,,MARKHAM,ON,L6E 1A4,(905) 471-0800,(905) 471-3834/F,,,,,,,fx,,,,,D,,,,,EP1351,2018-02-09,353-1351-17466,2018-02-09,2019-03-31
512,CAPRI RAVIOLI INC.,,CASA MARIA,,,,,,,11320 - 57E AVENUE,,,MONTRÉAL,QC,H1E 4B6,(514)648-5262,,,,,,,,FX,,,,,D,,,,,EP1490,2025-01-27 14:25:16.1216817,512-1490-17751,2018-02-26,2019-03-31
732,ERIE MEAT PRODUCTS LTD - EST 732,,CAN-AM MEAT PURVEYORS : HARVEST CREEK : GOLDEN MAPLE MEAT PRODUCTS LTD. : 508818 ONTARIO LIMITED,3240 WHARTON WAY,,,MISSISSAUGA,ON,L4X2C1,3115 LENWORTH DRIVE,,,MISSISSAUGA,ON,L4X2G5,,,,,,,,,,Y,,BUS,,D,,,,,EP2449,2026-06-09 14:03:26.4170561,732-2449-17631,2018-02-19,2019-03-31
733,INDUSTRIE GASTRONOMIQUE CASCAJARES (IGC) INC.,,CHEF BRIGADE - CHEF ET MOI,,,,,,,"4335, AVENUE BEAUDRY",,,SAINT-HYACINTHE,QC,J2S 8W2,(450)250-2065,,,,,FGH,,,FX,,,,,D,,,,,EP2483,2024-09-12 15:28:57.2247714,733-2483-17391,2018-02-02,2019-03-31
734,JBS FOOD CANADA ULC,,,BOX 1868,,,BROOKS,AB,T1R1C6,"240 JAMIESON BONE ROAD,",,,BELLEVILLE,ON,K8N5T3,(403)501-2142,,,,,X,,,X,,,,,,,,,,,2020-05-11 13:41:53.242735200,,,
735,9220-7158 QUÉBEC INC.*,,,,,,,,,"200, RUE ISRAEL-HÉBERT",,,RACINE,QC,J0E 1Y0,(450) 532-5444,(450) 532-5844/F,,d,,,,,,,,,,D,,,,,EP2487,2018-04-03,735-2487-17061,2017-03-08,2018-03-31
636,TNT FOODS INTERNATIONAL INC.,,TNT FOODS,,UNIT,,,,,20 WESTWYN COURT,,,BRAMPTON,ON,L6T 4T5,(905) 672-1787,(905) 612-8555/F,,,,f,,,f,,,,,D,,,,,EP2358,2018-02-21,636-2358-17652,2018-02-21,2019-03-31
637,LEADBETTER FOODS INC,,,,,,,,,4 BRAMMER DR,,,ORILLIA,ON,L3V7T4,(705) 325-9922,,,,,X,,,FX,,,,,D,,,,,,2023-07-18 13:57:59.988576400,,,
532,CONCORD PREMIUM MEATS LTD.,,"MARCANGELO FOODS, CONCORD PREMIUM FOODS, BLACK RIVER ANGUS COMPANY LIMITED, CENTRAL PARK DELI, BLACK VALLEY ANGUS COMPANY LIMITED, MARCANGELO - LES ALIMENTS SKOULAKIS - SKOULAKIS, COUNTY CREEK MEAT COMPANY LIMITED, CONNIE'S KITCHEN, CLIFTON LANE, DYNASTY MEATS AND TAKARA",125 EDILCAN DRIVE,,,VAUGHAN,ON,L4K3S6,220 WILKINSON RD,,,BRAMPTON,ON,L6T4N7,(905)450-7778,,,,,,,,FX,,,,,AD,,,,,,2023-01-31 07:35:15.830091600,,,
533,CATELLI FOODS CORPORATION/CORPORATION D'ALIMENTS CATELLI,,OLIVIERI A DIVISION OF CATELLI FOODS CORPORATION; OLIVIERI UNE DIVISION DE CORPORATION D'ALIMENTS CATELLI,6890 NOTRE DAME EAST,,,MONTREAL,QC,H1N 2E5,1631 DERWENT WAY,,,DELTA,BC,V3M 6K8,(604) 525-2278,(604) 525-8207/F,,,,,,,fx,,,,,D,,,,,EP1505,2018-02-09,533-1505-17461,2018-02-09,2019-03-31
534,HUBBERT'S PROCESSING AND SALES INC.,,"HUBBERT'S INDUSTRIES, BANK BROTHERS SUSTAINABLE INGREDIENTS",,,,,,,109 EAST DRIVE,,,BRAMPTON,ON,L6T 1B6,905)791-0101,,,,,,Y,,X,,,,,AD,,,,,,2020-10-06 12:24:26.299337400,,,
690,NANA'S KITCHEN & HOT SAUCES LTD.,,NANA'S KITCHEN,,,,,,,8125-130TH STREET,"UNIT 11, 12, 13, 14",,SURREY,BC,V3W 7X4,(604) 572-6202,(604) 572-6275/F,,,,,,,fx,,,,,D,,,,,EP2413,2018-02-01,690-2413-17363,2018-02-01,2019-03-31
691,GLOBAL EGG CORPORATION,,"EAT, JUST INC / EGGSOLUTIONS",,,,,,,283 HORNER AVENUE,,,ETOBICOKE,ON,M8Z4Y4,(416)231-2309,,,,,,,,xf,,,,,AD,,,,,,2022-03-22 09:44:13.245895100,,,
693,1737457 ONTARIO INC,,ETNICO FOODS; ITALINA; ITAL TRIPPA,"5359 TIMBERLEA BLVD., UNIT 44",,,MISSISSAUGA,ON,L4W4N5,"5359 TIMBERLEA BLVD., UNITS 39-46",,,MISSISSAUGA,ON,L4W4N5,(905)602-6970,,,,,,,,6FGX,,,,,D,,,,,EP1222,2026-05-05 14:51:05.7557582,693-1222-17630,2018-02-19,2019-03-31
S402,FREEZERCO INC.,,,P.O. BOX 10000,,,NEEPAWA,MB,R0J 1H0,106 MILL STREET,,,NEEPAWA,MB,R0J 1H0,(204) 476-2608,(204) 476-2278/F,,,,,,,,,,,A,RSI,,,,,EP2416,2018-02-07,S402-2416-17459,2018-02-07,2019-03-31
S757,"ENTREPôT FRIGORIFIQUE INTERNATIONAL, INC.",,ENTREPOT FRIGORIFIQUE INTERNATIONAL INC.,,,,,,,"8155, ROUTE TRANSCANADIENNE",,,SAINT-LAURENT,QC,H4S 1S4,(514) 344-5067,(514) 344-5028/F,(514) 344-2075/I,,,,,,,,,AB/US,A,HRSI,Y,,,,EP2374,2018-03-08,S757-2374-17870,2018-03-08,2019-03-31
S124,CANADIAN DRY STORAGE LTD.,,CDS COLD STORAGE : CDS GROUP OF COMPANIES,,,,,,,18351 MCCARTNEY WAY,,,RICHMOND,BC,V6W 0A1,(604) 279-0960,,,,,,,,,,,B/C/US,A,RSHI,Y,,,,EP2372,2025-05-06 11:04:29.3040856,S124-2372-17957,2018-03-27,2019-03-31
S126,FINE CHOICE FOODS LIMITED,,,23111 FRASERWOOD WAY,,,RICHMOND,BC,V6V 3B3,"23000 FRASERWOOD WAY, UNIT 135",,,RICHMOND,BC,V6V 3C7,(604) 522-3110,(866) 372-7744/F,,,,,,,,,,,AB,,,,,,EP2554,2018-01-30,S126-2554-17357,2018-01-30,2019-03-31
S127,BLUNDELL SEAFOODS LTD.,,,11351 RIVER ROAD,,,RICHMOND,BC,V6X 1Z6,11351 RIVER ROAD,,,RICHMOND,BC,V6X 1Z6,(604) 270-3300,(604) 270-6513/F,,,,,,,,,,,AB,,,,,,EP2531,2018-02-09,S127-2531-17502,2018-02-09,2019-03-31
S826,LOBLAWS INC.,,,35 CLYDE AVENUE,,,MOUNT PEARL,NL,A1N 4R8,35 CLYDE AVENUE,,,MOUNT PEARL,NL,A1N 4R8,(709) 576-1246,(709) 576-1232/F,,,,,,,,,,,B,,,,,,EP1783,2018-02-09,S826-1783-17481,2018-02-09,2019-03-31
S827,VERSACOLD LOGISTICS SERVICES,,VERSACOLD LOGISTICS SERVICES,,,,,,,96 GLENCOE DRIVE,,,MOUNT PEARL,NL,A1N4S9,(709)747-0665,,,,,,,,,,,,A,,,,,,,2020-09-14 12:43:08.932682400,,,
396,2344959 ONTARIO INC.,,PREMIUM FOODS : ADP DIRECT POULTRY LTD.,,,,,,,42 TABER ROAD,,,TORONTO,ON,M9W 3A8,(416)749-0911,,,,,FX,,,FX,,,,,AD,,,,,,2021-10-21 08:25:35.660879800,,,
S738,VERSACOLD LOGISTICS SERVICES,,,,,,,,,205-1600 BRANDON CRESCENT,,,LACHINE,QC,H8T 6M8,(514) 634-7011,(514) 634-5233/F,(514) 634-4379/I,,,,,,,,,AB/US,A,HRS,,,,,EP1750,2025-04-02 11:03:47.3552549,S738-1750-17763,2018-02-26,2019-03-31
